dia1b15out,dia2b15out,dia3b15out,dia4b15out,dia5b15out,dia6b15out,dia7b15out,dia8b15out,dia9b15out,dia10b15out
108,98,87,88,88,95,80,69,66,50
102,89,87,86,85,85,81,68,59,66
106,95,89,84,92,99,83,79,63,67
106,85,92,99,97,75,96,73,68,73
107,89,99,93,90,90,88,77,65,73
110,88,99,99,93,86,84,80,67,65
111,99,102,96,94,73,69,68,95,62
105,94,100,103,93,70,72,71,91,80
108,93,101,96,90,73,85,65,85,82
111,96,104,95,99,84,94,68,82,82
107,95,117,93,97,85,86,67,78,51
111,101,113,95,99,86,84,67,73,59
104,90,90,93,94,61,96,71,63,52
105,88,98,95,97,70,90,62,62,79
105,91,85,100,97,87,87,68,69,68
104,106,102,100,96,77,92,63,85,77
101,112,103,91,93,79,91,71,82,63
100,115,99,97,94,72,89,72,81,64
103,111,93,93,91,73,92,77,99,68
99,99,92,102,97,85,86,70,100,70
102,100,93,98,93,82,89,69,82,72
103,109,89,103,102,86,88,81,77,70
103,104,106,94,98,90,81,80,80,68
101,106,99,96,103,83,74,80,73,67
105,90,99,92,94,85,86,82,71,68
110,87,105,89,96,74,86,73,69,80
107,89,100,92,92,80,86,76,88,74
108,95,98,91,89,86,76,73,86,72
107,95,102,92,92,89,72,77,82,65
108,102,100,95,91,86,78,71,74,68
103,84,82,102,93,98,71,75,73,66
107,87,78,90,92,82,79,78,72,66
108,94,83,87,98,82,84,73,85,75
100,89,83,92,86,81,90,84,77,72
104,87,92,100,82,84,90,82,81,70
108,87,92,93,81,80,81,85,76,64
103,96,88,103,101,77,85,79,74,71
103,91,86,101,100,73,85,77,77,77
102,90,87,99,98,81,83,73,79,76
103,95,91,96,91,79,78,78,71,76
102,90,95,84,98,80,79,78,70,51
110,90,94,78,94,75,73,79,63,55
103,89,89,82,90,81,73,72,63,63
105,90,85,90,88,86,69,68,66,60
106,90,89,86,93,80,87,67,77,51
109,92,99,88,89,78,78,73,77,59
102,96,103,93,84,89,83,70,70,64
105,93,103,107,89,84,82,67,54,65
111,95,110,109,90,85,80,63,61,63
114,92,116,99,84,77,78,70,66,77
108,96,114,94,89,74,82,74,66,70
104,105,107,95,82,77,82,87,67,65
,107,108,101,78,79,85,82,70,71
,108,98,99,73,74,85,82,68,72
,82,90,96,83,82,86,74,68,68
,84,99,,82,,88,76,68,74
,88,102,,83,,84,74,74,75
,100,95,,,,81,79,70,
,109,93,,,,74,88,75,
,101,,,,,,86,,