gusanob15p,dia1b15p,dia2b15p,dia3b15p,dia4b15p,dia5b15p,dia6b15p,dia7b15p,dia8b15p,dia9b15p,dia10b15p
1,105,94,88,86,88,93,81,72,63,49
2,108,87,97,97,93,84,89,77,67,69
3,108,95,101,98,92,72,75,68,90,67
4,110,97,111,94,98,85,88,67,77,81
5,105,90,91,58,65,55,91,67,65,54
6,100,111,101,75,96,78,91,69,83,75
7,101,103,93,98,94,74,89,72,100,65
8,103,106,98,94,94,84,81,80,80,71
9,105,89,101,101,101,110,86,77,71,68
10,110,97,100,94,94,86,71,74,85,75
11,106,88,81,91,91,80,76,75,73,66
12,105,88,89,96,94,91,88,84,81,71
13,96,92,87,89,83,82,84,77,76,68
14,105,92,93,99,100,80,80,78,73,76
15,102,90,88,99,94,78,72,69,64,56
16,115,94,102,81,90,79,83,70,75,57
17,105,94,118,88,87,81,80,69,60,64
18,105,107,110,103,88,86,83,84,68,79
19,116,85,96,96,78,76,86,75,68,69
20,109,103,97,99,83,78,80,84,73,72