dia1d15out3,dia2d15out3,dia3d15out3,dia4d15out3,dia5d15out3,dia6d15out3,dia7d15out3,dia8d15out3,dia9d15out3,dia10d15out3
54,77,74,87,90,102,94,112,127,111
58,76,74,79,102,108,99,131,115,84
50,83,64,66,93,91,95,74,110,86
52,72,71,80,92,93,99,85,95,95
50,56,68,68,84,85,88,91,80,87
55,75,71,74,82,88,95,88,137,83
44,53,55,63,108,76,74,82,146,112
59,52,74,71,110,62,83,84,117,102
40,89,88,83,101,56,84,82,104,99
51,75,88,76,94,100,86,103,89,99
59,69,70,69,88,92,86,61,95,92
70,71,76,73,82,114,75,85,87,80
59,65,83,66,,77,69,62,90,122
62,77,73,65,109,74,127,141,75,109
60,53,71,63,97,76,142,127,79,125
61,70,98,60,97,70,129,119,119,97
59,85,89,,92,72,131,122,110,119
57,75,81,78,112,84,84,70,105,128
51,69,89,76,108,58,103,103,99,114
56,59,72,71,100,65,99,101,97,108
51,61,75,68,91,129,89,80,135,97
62,67,75,72,87,125,88,79,130,103
59,59,80,65,81,108,91,75,118,130
55,62,95,73,92,104,123,70,119,126
55,75,82,78,91,98,112,65,130,122
61,74,96,88,89,97,,77,127,115
59,71,76,70,85,98,96,68,118,
62,66,74,77,83,92,90,69,111,140
54,64,76,75,79,87,119,83,98,120
64,68,84,70,99,83,114,88,108,96
50,59,95,,97,81,120,84,77,107
63,59,82,85,82,105,111,141,95,131
,57,96,,89,96,95,139,78,95
56,73,76,84,94,95,140,126,85,104
53,75,74,83,83,89,143,118,119,107
,62,76,82,110,83,116,117,120,96
59,69,92,,105,85,123,114,114,89
,66,74,85,98,139,108,107,125,77
75,63,77,72,96,126,118,101,97,75
81,71,75,78,90,135,108,92,124,74
71,52,69,76,87,100,101,95,125,68
78,59,70,74,91,115,92,98,107,73
,79,70,75,83,105,104,96,101,135
62,91,87,84,85,109,112,90,103,124
71,78,89,84,78,98,105,90,109,116
74,73,,81,75,95,112,81,122,109
74,73,74,78,72,117,87,140,105,111
70,70,70,77,69,113,129,145,106,112
66,66,70,78,93,102,121,120,104,105
65,62,95,69,95,96,118,114,,106
66,86,89,97,93,87,114,101,,93
66,72,86,91,92,139,103,95,,91
62,81,87,83,82,118,,89,,89
65,65,72,86,84,117,,87,,
53,87,78,77,,108,,93,,
64,63,76,76,,,,97,,
43,,90,75,,,,,,
54,96,87,92,,,,,,
51,96,81,93,,,,,,
57,87,78,81,,,,,,
45,81,71,84,,,,,,
57,72,71,78,,,,,,
39,66,75,76,,,,,,
55,73,,74,,,,,,
77,94,103,,,,,,,
73,85,107,,,,,,,
70,76,93,,,,,,,
71,76,94,,,,,,,
66,83,,89,,,,,,
69,66,,,,,,,,
65,70,,,,,,,,
72,89,,,,,,,,
77,81,,,,,,,,
71,82,,,,,,,,
75,77,,,,,,,,
69,72,,,,,,,,
66,79,,,,,,,,
67,69,,,,,,,,
67,,,,,,,,,
69,,,,,,,,,
73,,,,,,,,,
,,,,,,,,,
68,,,,,,,,,
65,,,,,,,,,
64,,,,,,,,,
64,,,,,,,,,
64,,,,,,,,,