dia1d20,dia2d20,dia3d20,dia4d20,dia5d20,dia6d20,dia7d20,dia8d20,dia9d20,dia10d20
53,63,77,59,65,76,82,132,95,94
53,52,76,58,59,74,167,120,90,96
53,56,77,110,63,71,85,339,88,96
52,55,72,52,62,69,150,119,92,88
52,54,68,53,66,72,131,99,83,91
49,54,63,43,57,71,142,111,99,92
51,54,65,48,62,68,132,108,133,211
50,55,67,51,68,69,113,104,105,60
46,55,54,46,47,97,65,54,101,300
43,52,56,50,91,69,71,131,95,88
48,55,56,57,99,86,59,78,112,105
44,54,51,60,91,117,58,100,78,108
42,64,63,62,85,98,54,146,76,110
45,43,56,67,91,110,56,79,77,96
44,56,56,78,96,118,46,87,74,108
44,56,53,110,95,121,49,93,75,96
44,56,46,66,92,116,50,91,75,82
43,60,53,54,86,108,57,103,64,85
42,56,51,63,84,60,105,95,69,81
42,55,54,68,76,66,126,87,116,87
42,55,19,50,66,50,80,135,121,148
42,52,78,56,64,55,96,118,129,129
43,55,62,61,74,54,116,136,118,126
43,54,68,50,66,120,74,113,89,111
50,57,65,56,58,63,118,112,90,105
52,51,58,54,52,64,229,110,89,90
48,57,62,54,92,62,112,116,86,89
50,52,63,56,45,67,104,105,88,88
46,55,61,68,48,134,87,104,90,94
47,52,62,70,48,118,87,111,102,86
48,52,61,68,57,53,84,114,107,
48,53,60,69,87,59,87,111,106,166
44,53,59,65,81,49,86,107,110,150
45,50,61,58,81,63,87,102,98,146
47,50,62,59,77,49,91,100,131,143
45,46,60,61,71,97,102,92,139,139
46,50,62,63,68,86,110,102,127,119
46,49,61,94,66,92,99,107,129,122
45,48,57,93,62,94,94,112,187,
46,49,59,90,70,87,87,224,182,
45,96,58,84,72,90,106,125,173,
44,51,64,74,67,67,104,118,,
43,56,56,79,67,58,92,116,,
44,58,58,73,65,61,98,117,,
88,58,57,73,67,66,101,114,,
44,60,55,46,65,67,75,,,
43,52,55,54,63,73,174,,,
43,55,56,55,84,69,164,,,
53,55,51,55,76,66,155,,,
49,110,49,54,71,72,95,,,
53,57,54,55,66,60,97,,,
49,56,44,52,67,63,93,,,
51,57,50,55,54,66,93,,,
48,115,48,46,66,67,88,,,
47,55,51,50,70,68,88,,,
51,58,54,61,65,66,,,,
43,57,50,61,55,68,,,,
50,55,54,73,62,68,,,,
48,58,52,65,63,67,,,,
50,57,61,61,59,94,,,,
45,65,58,64,63,90,,,,
44,57,62,51,61,92,,,,
45,51,50,64,102,83,,,,
46,55,52,61,117,70,,,,
48,52,48,64,110,83,,,,
44,50,108,53,107,82,,,,
47,51,57,58,96,121,,,,
43,50,52,58,97,116,,,,
45,52,56,55,76,115,,,,
45,48,47,57,74,100,,,,
43,49,51,47,75,104,,,,
42,95,98,61,74,,,,,
44,50,51,51,73,,,,,
51,47,44,60,72,,,,,
52,49,56,62,75,,,,,
95,47,48,62,76,,,,,
52,47,108,59,,,,,,
54,48,66,62,,,,,,
40,49,64,61,,,,,,
48,50,68,59,,,,,,
43,47,55,61,,,,,,
50,63,62,62,,,,,,
41,59,58,62,,,,,,
46,57,65,80,,,,,,
46,58,60,76,,,,,,
45,60,64,77,,,,,,
46,62,73,87,,,,,,
41,61,68,69,,,,,,
45,57,67,74,,,,,,
45,58,66,74,,,,,,
49,58,65,,,,,,,
39,49,65,,,,,,,
44,52,66,,,,,,,
45,55,66,,,,,,,
40,48,,,,,,,,
45,52,,,,,,,,
44,51,,,,,,,,
52,50,,,,,,,,
51,53,,,,,,,,
53,53,,,,,,,,
48,54,,,,,,,,
50,54,,,,,,,,
50,,,,,,,,,
50,,,,,,,,,
49,,,,,,,,,
50,,,,,,,,,
50,,,,,,,,,
48,,,,,,,,,
47,,,,,,,,,
47,,,,,,,,,
48,,,,,,,,,
47,,,,,,,,,
46,,,,,,,,,
90,,,,,,,,,
48,,,,,,,,,
45,,,,,,,,,
48,,,,,,,,,
47,,,,,,,,,
46,,,,,,,,,