gusano,dia1,dia2,dia3,dia4,dia5,dia6,dia7,dia8,dia9,dia10
1,50,55,70.62,51.11,61,71.25,105.66,126,91.16,92.83
2,43.07,55.5,54.09,63.42,92.16,93.4,129.5,108.2,109.2,180
3,47.5,53.81,63.44,56.8,80.42,114.6,56.5,97,77,101.4
4,44.45,49.9,60.88,64.55,60,66,99.5,92.66,72.33,89.83
5,49.33,56.28,57.5,77.5,74.16,74,111.33,125.5,121,128.5
6,44.69,56.62,50.63,54.09,67,91,86.33,109.4,88.66,92
7,47.7,53.45,55,62.33,69.25,65.55,97.16,109,104.6,
8,44.15,48.3,50.42,56.4,66.25,65.88,96,102.6,131.5,154
9,50.09,59.3,62.44,61.11,102.5,84.85,,,,130.75
10,46.9,51.9,67,76.71,74.37,111.2,93.33,118,,