gusano,dia1d20,gusano,dia2d20,gusano,dia3d20,gusano,dia4d20,gusano,dia5d20,gusano,dia6d20,gusano,dia7d20,gusano,dia8d20,gusano,dia9d20,gusano,dia10d20
1,53,1,63,1,77,1,59,1,65,1,76,1,82,1,132,1,95,1,94
1,53,1,52,1,76,1,58,1,59,1,74,1,167,1,120,1,90,1,96
1,53,1,56,1,77,1,110,1,63,1,71,1,85,1,339,1,88,1,96
1,52,1,55,1,72,1,52,1,62,1,69,1,150,2,119,1,92,1,88
1,52,1,54,1,68,1,53,1,66,1,72,2,131,2,99,1,83,1,91
1,49,1,54,1,63,1,43,1,57,1,71,2,142,2,111,1,99,1,92
1,51,1,54,1,65,1,48,1,62,1,68,2,132,2,108,2,133,2,211
1,50,1,55,1,67,1,51,1,68,1,69,2,113,2,104,2,105,2,60
1,46,1,55,2,54,1,46,1,47,2,97,3,65,3,54,2,101,2,300
1,43,1,52,2,56,1,50,2,91,2,69,3,71,3,131,2,95,3,88
1,48,2,55,2,56,2,57,2,99,2,86,3,59,3,78,2,112,3,105
2,44,2,54,2,51,2,60,2,91,2,117,3,58,3,100,3,78,3,108
2,42,2,64,2,63,2,62,2,85,2,98,3,54,3,146,3,76,3,110
2,45,2,43,2,56,2,67,2,91,3,110,3,56,3,79,4,77,3,96
2,44,2,56,2,56,2,78,2,96,3,118,3,46,4,87,4,74,4,108
2,44,2,56,2,53,2,110,3,95,3,121,3,49,4,93,4,75,4,96
2,44,2,56,2,46,2,66,3,92,3,116,3,50,4,91,4,75,4,82
2,43,2,60,2,53,2,54,3,86,3,108,3,57,4,103,4,64,4,85
2,42,2,56,2,51,3,63,3,84,4,60,4,105,4,95,4,69,4,81
2,42,2,55,3,54,3,68,3,76,4,66,4,126,4,87,5,116,4,87
2,42,3,55,3,19,3,50,3,66,4,50,4,80,5,135,5,121,5,148
2,42,3,52,3,78,3,56,3,64,4,55,4,96,5,118,5,129,5,129
2,43,3,55,3,62,3,61,4,74,4,54,4,116,5,136,5,118,5,126
2,43,3,54,3,68,3,50,4,66,4,120,4,74,5,113,6,89,5,111
3,50,3,57,3,65,3,56,4,58,4,63,5,118,6,112,6,90,6,105
3,52,3,51,3,58,3,54,4,52,4,64,5,229,6,110,6,89,6,90
3,48,3,57,3,62,3,54,4,92,4,62,5,112,6,116,6,86,6,89
3,50,3,52,3,63,3,56,4,45,5,67,5,104,6,105,6,88,6,88
3,46,3,55,3,61,4,68,4,48,5,134,6,87,6,104,6,90,6,94
3,47,3,52,4,62,4,70,4,48,5,118,6,87,7,111,7,102,6,86
3,48,3,52,4,61,4,68,4,57,5,53,6,84,7,114,7,107,7,
3,48,4,53,4,60,4,69,5,87,5,59,6,87,7,111,7,106,8,166
3,44,4,53,4,59,4,65,5,81,5,49,6,86,7,107,7,110,8,150
3,45,4,50,4,61,4,58,5,81,5,63,6,87,7,102,7,98,8,146
3,47,4,50,4,62,4,59,5,77,5,49,7,91,8,100,8,131,9,143
3,45,4,46,4,60,4,61,5,71,6,97,7,102,8,92,8,139,9,139
4,46,4,50,4,62,4,63,5,68,6,86,7,110,8,102,8,127,9,119
4,46,4,49,4,61,5,94,5,66,6,92,7,99,8,107,8,129,9,122
4,45,4,48,5,57,5,93,5,62,6,94,7,94,8,112,9,187,10,
4,46,4,49,6,59,5,90,6,70,6,87,7,87,9,224,9,182,,
4,45,4,96,6,58,5,84,6,72,6,90,8,106,10,125,9,173,,
4,44,4,51,6,64,5,74,6,67,7,67,8,104,10,118,10,,,
4,43,5,56,6,56,5,79,6,67,7,58,8,92,10,116,,,,
4,44,5,58,6,58,5,73,6,65,7,61,8,98,10,117,,,,
4,88,5,58,6,57,6,73,6,67,7,66,8,101,10,114,,,,
4,44,5,60,6,55,6,46,6,65,7,67,8,75,,,,,,
4,43,5,52,6,55,6,54,6,63,7,73,9,174,,,,,,
4,43,5,55,6,56,6,55,7,84,7,69,9,164,,,,,,
5,53,5,55,7,61,6,55,7,76,7,66,9,155,,,,,,
5,49,5,110,7,58,6,54,7,71,7,72,10,95,,,,,,
5,53,6,57,7,62,6,55,7,66,8,60,10,97,,,,,,
5,49,6,56,7,50,6,52,7,67,8,63,10,93,,,,,,
5,51,6,57,7,52,6,55,7,54,8,66,10,93,,,,,,
5,48,6,115,7,48,6,46,7,66,8,67,10,88,,,,,,
5,47,6,55,7,108,6,50,7,70,8,68,10,88,,,,,,
5,51,6,58,7,57,7,61,8,65,8,66,,,,,,,,
5,43,6,57,7,52,7,61,8,55,8,68,,,,,,,,
5,50,6,55,8,56,7,73,8,62,8,68,,,,,,,,
5,48,6,58,8,47,7,65,8,63,8,67,,,,,,,,
5,50,7,57,8,51,7,61,8,59,9,94,,,,,,,,
6,45,7,65,8,98,7,64,8,63,9,90,,,,,,,,
6,44,7,57,8,51,7,51,8,61,9,92,,,,,,,,
6,45,7,51,8,44,7,64,8,102,9,83,,,,,,,,
6,46,7,55,8,56,7,61,9,117,9,70,,,,,,,,
6,48,7,52,8,48,8,64,9,110,9,83,,,,,,,,
6,44,7,50,8,108,8,53,9,107,9,82,,,,,,,,
6,47,7,51,9,66,8,58,9,96,10,121,,,,,,,,
6,43,7,50,9,64,8,58,9,97,10,116,,,,,,,,
6,45,7,52,9,68,8,55,10,76,10,115,,,,,,,,
6,45,7,48,9,55,8,57,10,74,10,100,,,,,,,,
6,43,8,49,9,62,8,47,10,75,10,104,,,,,,,,
6,42,8,95,9,58,8,61,10,74,,,,,,,,,,
6,44,8,50,9,65,8,51,10,73,,,,,,,,,,
7,51,8,47,9,60,8,60,10,72,,,,,,,,,,
7,52,8,49,9,64,9,62,10,75,,,,,,,,,,
7,95,8,47,10,73,9,62,10,76,,,,,,,,,,
7,52,8,47,10,68,9,59,,,,,,,,,,,,
7,54,8,48,10,67,9,62,,,,,,,,,,,,
7,40,8,49,10,66,9,61,,,,,,,,,,,,
7,48,8,50,10,65,9,59,,,,,,,,,,,,
7,43,8,47,10,65,9,61,,,,,,,,,,,,
7,50,9,63,10,66,9,62,,,,,,,,,,,,
7,41,9,59,10,66,9,62,,,,,,,,,,,,
7,46,9,57,,,10,80,,,,,,,,,,,,
8,46,9,58,,,10,76,,,,,,,,,,,,
8,45,9,60,,,10,77,,,,,,,,,,,,
8,46,9,62,,,10,87,,,,,,,,,,,,
8,41,9,61,,,10,69,,,,,,,,,,,,
8,45,9,57,,,10,74,,,,,,,,,,,,
8,45,9,58,,,10,74,,,,,,,,,,,,
8,49,9,58,,,,,,,,,,,,,,,,
8,39,10,49,,,,,,,,,,,,,,,,
8,44,10,52,,,,,,,,,,,,,,,,
8,45,10,55,,,,,,,,,,,,,,,,
8,40,10,48,,,,,,,,,,,,,,,,
8,45,10,52,,,,,,,,,,,,,,,,
8,44,10,51,,,,,,,,,,,,,,,,
9,52,10,50,,,,,,,,,,,,,,,,
9,51,10,53,,,,,,,,,,,,,,,,
9,53,10,53,,,,,,,,,,,,,,,,
9,48,10,54,,,,,,,,,,,,,,,,
9,50,10,54,,,,,,,,,,,,,,,,
9,50,,,,,,,,,,,,,,,,,,
9,50,,,,,,,,,,,,,,,,,,
9,49,,,,,,,,,,,,,,,,,,
9,50,,,,,,,,,,,,,,,,,,
9,50,,,,,,,,,,,,,,,,,,
9,48,,,,,,,,,,,,,,,,,,
10,47,,,,,,,,,,,,,,,,,,
10,47,,,,,,,,,,,,,,,,,,
10,48,,,,,,,,,,,,,,,,,,
10,47,,,,,,,,,,,,,,,,,,
10,46,,,,,,,,,,,,,,,,,,
10,90,,,,,,,,,,,,,,,,,,
10,48,,,,,,,,,,,,,,,,,,
10,45,,,,,,,,,,,,,,,,,,
10,48,,,,,,,,,,,,,,,,,,
10,47,,,,,,,,,,,,,,,,,,
10,46,,,,,,,,,,,,,,,,,,