dia2b15ci,dia4b15ci,dia5b15ci,dia6b15ci,dia7b15ci,dia8b15ci,dia10b15ci
98,88,88,95,80,69,50
89,86,85,85,81,68,66
95,84,92,99,83,79,67
85,99,97,75,96,73,73
89,93,90,90,88,77,73
88,99,93,86,84,80,65
99,96,94,73,69,68,62
94,103,93,70,72,71,80
93,96,90,73,85,65,82
96,95,99,84,94,68,82
95,93,97,85,86,67,51
101,95,99,86,84,67,59
90,93,94,61,96,71,52
88,95,97,70,90,62,79
91,100,97,87,87,68,68
106,100,96,77,92,63,77
112,91,93,79,91,71,63
115,97,94,72,89,72,64
111,93,91,73,92,77,68
99,102,97,85,86,70,70
100,98,93,82,89,69,72
109,103,102,86,88,81,70
104,94,98,90,81,80,68
106,96,103,83,74,80,67
90,92,94,85,86,82,68
87,89,96,74,86,73,80
89,92,92,80,86,76,74
95,91,89,86,76,73,72
95,92,92,89,72,77,65
102,95,91,86,78,71,68
84,102,93,98,71,75,66
87,90,92,82,79,78,66
94,87,98,82,84,73,75
89,92,86,81,90,84,72
87,100,82,84,90,82,70
87,93,81,80,81,85,64
96,103,101,77,85,79,71
91,101,100,73,85,77,77
90,99,98,81,83,73,76
95,96,91,79,78,78,76
90,84,98,80,79,78,51
90,78,94,75,73,79,55
89,82,90,81,73,72,63
90,90,88,86,69,68,60
90,86,93,80,87,67,51
92,88,89,78,78,73,59
96,93,84,89,83,70,64
93,107,89,84,82,67,65
95,109,90,85,80,63,63
92,99,84,77,78,70,77
96,94,89,74,82,74,70
105,95,82,77,82,87,65
107,101,78,79,85,82,71
108,99,73,74,85,82,72
82,96,83,82,86,74,68
84,,82,,88,76,74
88,,83,,84,74,75
100,,,,81,79,
109,,,,74,88,
101,,,,,86,