dia2b15ci,dia3b15ci,dia4b15ci,dia7b15ci,dia9b15ci,dia10b15ci
98,87,88,80,66,50
89,87,86,81,59,66
95,89,84,83,63,67
85,92,99,96,68,73
89,99,93,88,65,73
88,99,99,84,67,65
99,102,96,69,95,62
94,100,103,72,91,80
93,101,96,85,85,82
96,104,95,94,82,82
95,117,93,86,78,51
101,113,95,84,73,59
90,90,93,96,63,52
88,98,95,90,62,79
91,85,100,87,69,68
106,102,100,92,85,77
112,103,91,91,82,63
115,99,97,89,81,64
111,93,93,92,99,68
99,92,102,86,100,70
100,93,98,89,82,72
109,89,103,88,77,70
104,106,94,81,80,68
106,99,96,74,73,67
90,99,92,86,71,68
87,105,89,86,69,80
89,100,92,86,88,74
95,98,91,76,86,72
95,102,92,72,82,65
102,100,95,78,74,68
84,82,102,71,73,66
87,78,90,79,72,66
94,83,87,84,85,75
89,83,92,90,77,72
87,92,100,90,81,70
87,92,93,81,76,64
96,88,103,85,74,71
91,86,101,85,77,77
90,87,99,83,79,76
95,91,96,78,71,76
90,95,84,79,70,51
90,94,78,73,63,55
89,89,82,73,63,63
90,85,90,69,66,60
90,89,86,87,77,51
92,99,88,78,77,59
96,103,93,83,70,64
93,103,107,82,54,65
95,110,109,80,61,63
92,116,99,78,66,77
96,114,94,82,66,70
105,107,95,82,67,65
107,108,101,85,70,71
108,98,99,85,68,72
82,90,96,86,68,68
84,99,,88,68,74
88,102,,84,74,75
100,95,,81,70,
109,93,,74,75,
101,,,,,