dia1b20ci,dia2b20ci,dia10b20ci
106,99,31
104,91,28
111,89,28
105,101,33
102,96,37
102,93,42
95,91,72
97,90,71
98,92,67
105,91,61
105,95,63
104,100,60
96,101,76
99,101,79
102,100,79
102,92,80
102,101,75
103,96,79
106,101,60
111,98,60
103,101,62
106,95,66
101,98,64
101,99,66
99,88,74
100,97,72
99,93,66
99,97,67
97,90,68
98,99,60
98,96,61
98,98,65
102,98,58
105,100,48
106,95,45
107,94,43
99,96,48
102,96,46
96,93,48
100,92,75
99,92,70
99,102,71
105,95,70
103,94,61
98,96,63
113,98,61
105,97,79
101,97,64
100,98,
98,97,
99,98,
102,96,
99,91,
101,89,
102,86,
105,99,
101,98,
100,96,
103,95,
106,,