diad15flig1,defecacion15flig1
1,54
1,58
1,50
1,52
1,50
1,55
1,44
1,59
1,40
1,51
1,59
1,70
1,59
1,62
1,60
1,61
1,59
1,57
1,51
1,56
1,51
1,62
1,59
1,55
1,55
1,61
1,59
1,62
1,54
1,64
1,50
1,63
1,56
1,53
1,59
1,75
1,81
1,71
1,78
1,62
1,71
1,74
1,74
1,70
1,66
1,65
1,66
1,66
1,62
1,65
1,53
1,64
1,43
1,54
1,51
1,57
1,45
1,57
1,39
1,55
1,77
1,73
1,70
1,71
1,66
1,69
1,65
1,72
1,77
1,71
1,75
1,69
1,66
1,67
1,67
1,69
1,73
1,68
1,65
1,64
1,64
1,64
2,77
2,76
2,83
2,72
2,56
2,75
2,53
2,52
2,89
2,75
2,69
2,71
2,65
2,77
2,53
2,70
2,85
2,75
2,69
2,59
2,61
2,67
2,59
2,62
2,75
2,74
2,71
2,66
2,64
2,68
2,59
2,59
2,57
2,73
2,75
2,62
2,69
2,66
2,63
2,71
2,52
2,59
2,79
2,91
2,78
2,73
2,73
2,70
2,66
2,62
2,86
2,72
2,81
2,65
2,87
2,63
2,96
2,96
2,87
2,81
2,72
2,66
2,73
2,94
2,85
2,76
2,76
2,83
2,66
2,70
2,89
2,81
2,82
2,77
2,72
2,79
2,69
3,74
3,74
3,64
3,71
3,68
3,71
3,55
3,74
3,88
3,88
3,70
3,76
3,83
3,73
3,71
3,98
3,89
3,81
3,89
3,72
3,75
3,75
3,80
3,95
3,82
3,96
3,76
3,74
3,76
3,84
3,95
3,82
3,96
3,76
3,74
3,76
3,92
3,74
3,77
3,75
3,69
3,70
3,70
3,87
3,89
3,74
3,70
3,70
3,95
3,89
3,86
3,87
3,72
3,78
3,76
3,90
3,87
3,81
3,78
3,71
3,71
3,75
3,103
3,107
3,93
3,94
4,87
4,79
4,66
4,80
4,68
4,74
4,63
4,71
4,83
4,76
4,69
4,73
4,66
4,65
4,63
4,60
4,78
4,76
4,71
4,68
4,72
4,65
4,73
4,78
4,88
4,70
4,77
4,75
4,70
4,85
4,84
4,83
4,82
4,101
4,85
4,72
4,78
4,76
4,74
4,75
4,84
4,84
4,81
4,78
4,77
4,78
4,69
4,97
4,91
4,83
4,86
4,77
4,76
4,75
4,92
4,93
4,81
4,84
4,78
4,76
4,74
4,89
5,90
5,102
5,93
5,92
5,84
5,82
5,108
5,110
5,101
5,94
5,88
5,82
5,109
5,97
5,97
5,92
5,112
5,108
5,100
5,91
5,87
5,81
5,92
5,91
5,89
5,85
5,83
5,79
5,99
5,97
5,82
5,89
5,94
5,83
5,110
5,105
5,98
5,96
5,90
5,87
5,91
5,83
5,85
5,78
5,75
5,72
5,69
5,93
5,95
5,93
5,92
5,82
5,84
5,117
5,123