dia6d15ci,dia7d15ci,dia8d15ci,dia9d15ci,dia10d15ci
102,94,112,127,111
108,99,131,115,84
91,95,74,110,86
93,99,85,95,95
85,88,91,80,87
88,95,88,137,83
76,74,82,146,112
62,83,84,117,102
56,84,82,104,99
100,86,103,89,99
92,86,61,95,92
114,75,85,87,80
77,69,62,90,122
74,127,141,75,109
76,142,127,79,125
70,129,119,119,97
72,131,122,110,119
84,84,70,105,128
58,103,103,99,114
65,99,101,97,108
129,89,80,135,97
125,88,79,130,103
108,91,75,118,130
104,123,70,119,126
98,112,65,130,122
97,96,77,127,115
98,90,68,118,140
92,119,69,111,120
87,114,83,98,96
83,120,88,108,107
81,111,84,77,131
105,95,141,95,95
96,140,139,78,104
95,143,126,85,107
89,116,118,119,96
83,123,117,120,89
85,108,114,114,77
139,118,107,125,75
126,108,101,97,74
135,101,92,124,68
100,92,95,125,73
115,104,98,107,135
105,112,96,101,124
109,105,90,103,116
98,112,90,109,109
95,87,81,122,111
117,129,140,105,112
113,121,145,106,105
102,118,120,104,106
96,114,114,,93
87,103,101,,91
139,,95,,89
118,,89,,
117,,87,,
108,,93,,
,,97,,